Designator,Mid X,Mid Y,Rotation,Layer
C1,215.8325,-35.23465,0.0,top
C2,231.8325,-35.23465,0.0,top
C3,251.0225,-35.23465,0.0,top
C4,267.1752,-35.23465,0.0,top
D1,45.0725,-150.73465,90.0,top
D10,150.0725,-150.73465,90.0,top
D11,160.5725,-130.73465,90.0,top
D12,171.0725,-150.73465,90.0,top
D13,192.0725,-150.73465,90.0,top
D14,203.0725,-130.73465,90.0,top
D15,213.0725,-150.73465,90.0,top
D16,224.0725,-130.73465,90.0,top
D17,234.0725,-150.73465,90.0,top
D18,255.0725,-150.73465,90.0,top
D19,265.5725,-130.73465,90.0,top
D2,55.5725,-130.73465,90.0,top
D20,276.0725,-150.73465,90.0,top
D21,286.5725,-130.73465,90.0,top
D22,297.0725,-150.73465,90.0,top
D23,307.5725,-130.73465,90.0,top
D24,318.0725,-150.73465,90.0,top
D25,339.0725,-150.73465,90.0,top
D26,36.5725,-163.23465,0.0,top
D27,46.6925,-113.73465,0.0,top
D28,57.1125,-163.23465,0.0,top
D29,67.6925,-113.73465,0.0,top
D3,66.0725,-150.73465,90.0,top
D30,78.1925,-163.23465,0.0,top
D31,99.0725,-163.23465,0.0,top
D32,109.8825,-113.73465,0.0,top
D33,120.2725,-163.23465,0.0,top
D34,130.8825,-113.73465,0.0,top
D35,141.2725,-163.23465,0.0,top
D36,151.8825,-113.73465,0.0,top
D37,162.3825,-163.23465,0.0,top
D38,183.2725,-163.23465,0.0,top
D39,194.3825,-113.73465,0.0,top
D4,76.5725,-130.92465,90.0,top
D40,204.3825,-163.23465,0.0,top
D41,215.3825,-113.73465,0.0,top
D42,225.3825,-163.23465,0.0,top
D43,246.3825,-163.23465,0.0,top
D44,256.8825,-113.73465,0.0,top
D45,267.3825,-163.23465,0.0,top
D46,277.8825,-113.73465,0.0,top
D47,288.3825,-163.23465,0.0,top
D48,298.8825,-113.73465,0.0,top
D49,309.1125,-163.23465,0.0,top
D5,87.0725,-150.73465,90.0,top
D50,330.3825,-163.23465,0.0,top
D51,36.5725,-166.73465,0.0,top
D52,46.6925,-117.23465,0.0,top
D53,57.1125,-166.73465,0.0,top
D54,67.6925,-117.23465,0.0,top
D55,78.1925,-166.73465,0.0,top
D56,99.0725,-166.73465,0.0,top
D57,109.8825,-117.23465,0.0,top
D58,120.2725,-166.73465,0.0,top
D59,130.8825,-117.23465,0.0,top
D6,108.0725,-150.73465,90.0,top
D60,141.2725,-166.73465,0.0,top
D61,151.8825,-117.23465,0.0,top
D62,162.3825,-166.73465,0.0,top
D63,183.2725,-166.73465,0.0,top
D64,194.3825,-117.23465,0.0,top
D65,204.3825,-166.73465,0.0,top
D66,215.3825,-117.23465,0.0,top
D67,225.3825,-166.73465,0.0,top
D68,246.3825,-166.73465,0.0,top
D69,256.8825,-117.23465,0.0,top
D7,118.5725,-130.73465,90.0,top
D70,267.3825,-166.73465,0.0,top
D71,277.8825,-117.23465,0.0,top
D72,288.3825,-166.73465,0.0,top
D73,298.8825,-117.23465,0.0,top
D74,309.1125,-166.73465,0.0,top
D75,330.3825,-166.73465,0.0,top
D76,40.7725,-25.23465,0.0,top
D8,129.0725,-150.73465,90.0,top
D9,139.5725,-130.73465,90.0,top
DB1,149.0925,-76.53465,90.0,top
J1,30.7225,-28.98465,270.0,top
R1,57.2725,-141.23465,180.0,top
R10,78.1925,-169.23465,0.0,top
R11,99.0725,-169.23465,0.0,top
R12,109.8825,-119.73465,0.0,top
R13,120.2725,-169.23465,0.0,top
R14,130.8825,-119.73465,0.0,top
R15,141.2725,-169.23465,0.0,top
R16,151.8825,-119.73465,0.0,top
R17,162.3825,-169.23465,0.0,top
R18,183.2725,-169.23465,0.0,top
R19,194.3825,-119.73465,0.0,top
R2,120.2725,-141.23465,0.0,top
R20,204.3825,-169.23465,0.0,top
R21,215.3825,-119.73465,0.0,top
R22,225.3825,-169.23465,0.0,top
R23,246.3825,-169.23465,0.0,top
R24,256.8825,-119.73465,0.0,top
R25,267.3825,-169.23465,0.0,top
R26,277.8825,-119.73465,0.0,top
R27,288.3825,-169.23465,0.0,top
R28,298.8825,-119.73465,0.0,top
R29,309.1125,-169.23465,0.0,top
R3,162.1925,-141.23465,0.0,top
R30,330.3825,-169.23465,0.0,top
R31,158.7725,-69.73465,0.0,top
R32,173.2725,-69.73465,0.0,top
R33,188.0825,-69.73465,0.0,top
R34,41.7725,-29.73465,0.0,top
R35,41.7725,-33.23465,0.0,top
R4,225.2725,-141.23465,0.0,top
R5,288.2725,-141.23465,0.0,top
R6,36.5725,-169.23465,0.0,top
R7,46.6925,-119.73465,0.0,top
R8,57.1125,-169.23465,0.0,top
R9,67.6925,-119.73465,0.0,top
S1,36.1925,-148.56965,0.0,top
S10,141.2725,-148.56965,0.0,top
S11,151.8525,-128.56965,0.0,top
S12,162.1925,-148.56965,0.0,top
S13,183.2725,-148.56965,0.0,top
S14,194.1125,-128.56965,0.0,top
S15,204.2725,-148.56965,0.0,top
S16,215.1125,-128.56965,0.0,top
S17,225.2725,-148.56965,0.0,top
S18,246.1925,-148.56965,0.0,top
S19,256.7725,-128.56965,0.0,top
S2,46.6925,-128.56965,0.0,top
S20,267.1125,-148.56965,0.0,top
S21,277.7725,-128.56965,0.0,top
S22,288.1125,-148.56965,0.0,top
S23,298.7725,-128.56965,0.0,top
S24,309.1125,-148.56965,0.0,top
S25,330.1125,-148.56965,0.0,top
S26,158.8325,-62.98465,0.0,top
S27,173.3325,-62.98465,0.0,top
S28,188.0825,-62.98465,0.0,top
S3,57.1125,-148.56965,0.0,top
S4,67.6925,-128.56965,0.0,top
S5,78.1925,-148.56965,0.0,top
S6,99.2725,-148.56965,0.0,top
S7,109.7725,-128.56965,0.0,top
S8,120.2725,-148.56965,0.0,top
S9,130.8525,-128.56965,0.0,top
U1,215.7725,-53.72465,0.0,top
U2,231.2725,-53.72465,0.0,top
U3,251.0825,-53.72465,0.0,top
U4,266.5825,-53.72465,0.0,top
U5,195.2325,-53.88465,90.0,top
